geneID	Description	Pathway
4343942	alcohol dehydrogenase-like 2	Glycolysis / Gluconeogenesis - Oryza sativa japonica (Japanese rice) (RefSeq)	http://rest.kegg.jp/get/osa00010/image
4344382	pyruvate decarboxylase 3	Glycolysis / Gluconeogenesis - Oryza sativa japonica (Japanese rice) (RefSeq)	http://rest.kegg.jp/get/osa00010/image
4344545	fructose-bisphosphate aldolase cytoplasmic isozyme-like	Glycolysis / Gluconeogenesis - Oryza sativa japonica (Japanese rice) (RefSeq)	http://rest.kegg.jp/get/osa00010/image
4344564	glyceraldehyde-3-phosphate dehydrogenase 1, cytosolic	Glycolysis / Gluconeogenesis - Oryza sativa japonica (Japanese rice) (RefSeq)	http://rest.kegg.jp/get/osa00010/image
4345338	pyrophosphate--fructose 6-phosphate 1-phosphotransferase subunit alpha	Glycolysis / Gluconeogenesis - Oryza sativa japonica (Japanese rice) (RefSeq)	http://rest.kegg.jp/get/osa00010/image
4345640	dihydrolipoyllysine-residue acetyltransferase component 4 of pyruvate dehydrogenase complex, chloroplastic	Glycolysis / Gluconeogenesis - Oryza sativa japonica (Japanese rice) (RefSeq)	http://rest.kegg.jp/get/osa00010/image
4345685	NADP-dependent glyceraldehyde-3-phosphate dehydrogenase	Glycolysis / Gluconeogenesis - Oryza sativa japonica (Japanese rice) (RefSeq)	http://rest.kegg.jp/get/osa00010/image
4345842	glucose-6-phosphate isomerase 1, chloroplastic	Glycolysis / Gluconeogenesis - Oryza sativa japonica (Japanese rice) (RefSeq)	http://rest.kegg.jp/get/osa00010/image
4346159	pyruvate dehydrogenase E1 component subunit beta-1, mitochondrial	Glycolysis / Gluconeogenesis - Oryza sativa japonica (Japanese rice) (RefSeq)	http://rest.kegg.jp/get/osa00010/image
4346383	aldose 1-epimerase	Glycolysis / Gluconeogenesis - Oryza sativa japonica (Japanese rice) (RefSeq)	http://rest.kegg.jp/get/osa00010/image
4346747	putative glucose-6-phosphate 1-epimerase	Glycolysis / Gluconeogenesis - Oryza sativa japonica (Japanese rice) (RefSeq)	http://rest.kegg.jp/get/osa00010/image
4346906	enolase 1, chloroplastic	Glycolysis / Gluconeogenesis - Oryza sativa japonica (Japanese rice) (RefSeq)	http://rest.kegg.jp/get/osa00010/image
4347022	dihydrolipoyllysine-residue acetyltransferase component 4 of pyruvate dehydrogenase complex, chloroplastic	Glycolysis / Gluconeogenesis - Oryza sativa japonica (Japanese rice) (RefSeq)	http://rest.kegg.jp/get/osa00010/image
4347060	ATP-dependent 6-phosphofructokinase 5, chloroplastic isoform X1	Glycolysis / Gluconeogenesis - Oryza sativa japonica (Japanese rice) (RefSeq)	http://rest.kegg.jp/get/osa00010/image
4347172	aldehyde dehydrogenase family 7 member A1	Glycolysis / Gluconeogenesis - Oryza sativa japonica (Japanese rice) (RefSeq)	http://rest.kegg.jp/get/osa00010/image
4347311	glucose-6-phosphate isomerase 1, chloroplastic	Glycolysis / Gluconeogenesis - Oryza sativa japonica (Japanese rice) (RefSeq)	http://rest.kegg.jp/get/osa00010/image
4347383	ATP-dependent 6-phosphofructokinase 2	Glycolysis / Gluconeogenesis - Oryza sativa japonica (Japanese rice) (RefSeq)	http://rest.kegg.jp/get/osa00010/image
4347531	pyruvate dehydrogenase E1 component subunit beta-2, mitochondrial	Glycolysis / Gluconeogenesis - Oryza sativa japonica (Japanese rice) (RefSeq)	http://rest.kegg.jp/get/osa00010/image
4347691	triosephosphate isomerase, chloroplastic	Glycolysis / Gluconeogenesis - Oryza sativa japonica (Japanese rice) (RefSeq)	http://rest.kegg.jp/get/osa00010/image
4348138	aldose 1-epimerase	Glycolysis / Gluconeogenesis - Oryza sativa japonica (Japanese rice) (RefSeq)	http://rest.kegg.jp/get/osa00010/image
4348152	alcohol dehydrogenase-like 4	Glycolysis / Gluconeogenesis - Oryza sativa japonica (Japanese rice) (RefSeq)	http://rest.kegg.jp/get/osa00010/image
4348176	enolase	Glycolysis / Gluconeogenesis - Oryza sativa japonica (Japanese rice) (RefSeq)	http://rest.kegg.jp/get/osa00010/image
4348230	phosphoglucomutase, chloroplastic	Glycolysis / Gluconeogenesis - Oryza sativa japonica (Japanese rice) (RefSeq)	http://rest.kegg.jp/get/osa00010/image
4348268	phosphoenolpyruvate carboxykinase [ATP]	Glycolysis / Gluconeogenesis - Oryza sativa japonica (Japanese rice) (RefSeq)	http://rest.kegg.jp/get/osa00010/image
4348582	ATP-dependent 6-phosphofructokinase 5, chloroplastic	Glycolysis / Gluconeogenesis - Oryza sativa japonica (Japanese rice) (RefSeq)	http://rest.kegg.jp/get/osa00010/image
4348728	phosphoglycerate kinase isoform X1	Glycolysis / Gluconeogenesis - Oryza sativa japonica (Japanese rice) (RefSeq)	http://rest.kegg.jp/get/osa00010/image
4349454	pyruvate kinase isozyme G, chloroplastic isoform X1	Glycolysis / Gluconeogenesis - Oryza sativa japonica (Japanese rice) (RefSeq)	http://rest.kegg.jp/get/osa00010/image
4349774	pyruvate kinase 1, cytosolic	Glycolysis / Gluconeogenesis - Oryza sativa japonica (Japanese rice) (RefSeq)	http://rest.kegg.jp/get/osa00010/image
4349897	fructose-bisphosphate aldolase, chloroplastic	Glycolysis / Gluconeogenesis - Oryza sativa japonica (Japanese rice) (RefSeq)	http://rest.kegg.jp/get/osa00010/image
4349966	aldehyde dehydrogenase family 3 member H1	Glycolysis / Gluconeogenesis - Oryza sativa japonica (Japanese rice) (RefSeq)	http://rest.kegg.jp/get/osa00010/image
4350053	alcohol dehydrogenase 1	Glycolysis / Gluconeogenesis - Oryza sativa japonica (Japanese rice) (RefSeq)	http://rest.kegg.jp/get/osa00010/image
4350054	alcohol dehydrogenase 2	Glycolysis / Gluconeogenesis - Oryza sativa japonica (Japanese rice) (RefSeq)	http://rest.kegg.jp/get/osa00010/image
4350055	alcohol dehydrogenase 2	Glycolysis / Gluconeogenesis - Oryza sativa japonica (Japanese rice) (RefSeq)	http://rest.kegg.jp/get/osa00010/image
4350078	pyruvate kinase 1, cytosolic-like	Glycolysis / Gluconeogenesis - Oryza sativa japonica (Japanese rice) (RefSeq)	http://rest.kegg.jp/get/osa00010/image
4351493	pyruvate kinase 2, cytosolic	Glycolysis / Gluconeogenesis - Oryza sativa japonica (Japanese rice) (RefSeq)	http://rest.kegg.jp/get/osa00010/image
4351678	dihydrolipoyllysine-residue acetyltransferase component 5 of pyruvate dehydrogenase complex, chloroplastic	Glycolysis / Gluconeogenesis - Oryza sativa japonica (Japanese rice) (RefSeq)	http://rest.kegg.jp/get/osa00010/image
4352803	pyruvate dehydrogenase E1 component subunit beta-3, chloroplastic	Glycolysis / Gluconeogenesis - Oryza sativa japonica (Japanese rice) (RefSeq)	http://rest.kegg.jp/get/osa00010/image
9268592	phosphoglycerate kinase, chloroplastic	Glycolysis / Gluconeogenesis - Oryza sativa japonica (Japanese rice) (RefSeq)	http://rest.kegg.jp/get/osa00010/image
9268618	putative glucose-6-phosphate 1-epimerase isoform X1	Glycolysis / Gluconeogenesis - Oryza sativa japonica (Japanese rice) (RefSeq)	http://rest.kegg.jp/get/osa00010/image
9269126	putative glucose-6-phosphate 1-epimerase	Glycolysis / Gluconeogenesis - Oryza sativa japonica (Japanese rice) (RefSeq)	http://rest.kegg.jp/get/osa00010/image
9270925	phosphoglycerate mutase-like protein 4	Glycolysis / Gluconeogenesis - Oryza sativa japonica (Japanese rice) (RefSeq)	http://rest.kegg.jp/get/osa00010/image
9271186	aldehyde dehydrogenase family 3 member H1	Glycolysis / Gluconeogenesis - Oryza sativa japonica (Japanese rice) (RefSeq)	http://rest.kegg.jp/get/osa00010/image
9271821	pyrophosphate--fructose 6-phosphate 1-phosphotransferase subunit alpha isoform X1	Glycolysis / Gluconeogenesis - Oryza sativa japonica (Japanese rice) (RefSeq)	http://rest.kegg.jp/get/osa00010/image
4324176	cytosolic isocitrate dehydrogenase [NADP]	Citrate cycle (TCA cycle) - Oryza sativa japonica (Japanese rice) (RefSeq)	http://rest.kegg.jp/get/osa00020/image
