geneID	Description	Pathway
PHAVU_004G150200g	hypothetical protein	Glycolysis / Gluconeogenesis - Phaseolus vulgaris (common bean)	http://rest.kegg.jp/get/pvu00010/image
PHAVU_004G173900g	hypothetical protein	Glycolysis / Gluconeogenesis - Phaseolus vulgaris (common bean)	http://rest.kegg.jp/get/pvu00010/image
PHAVU_004G175500g	hypothetical protein	Glycolysis / Gluconeogenesis - Phaseolus vulgaris (common bean)	http://rest.kegg.jp/get/pvu00010/image
PHAVU_005G050700g	hypothetical protein	Glycolysis / Gluconeogenesis - Phaseolus vulgaris (common bean)	http://rest.kegg.jp/get/pvu00010/image
PHAVU_005G050800g	hypothetical protein	Glycolysis / Gluconeogenesis - Phaseolus vulgaris (common bean)	http://rest.kegg.jp/get/pvu00010/image
PHAVU_005G059200g	hypothetical protein	Glycolysis / Gluconeogenesis - Phaseolus vulgaris (common bean)	http://rest.kegg.jp/get/pvu00010/image
PHAVU_005G144100g	hypothetical protein	Glycolysis / Gluconeogenesis - Phaseolus vulgaris (common bean)	http://rest.kegg.jp/get/pvu00010/image
PHAVU_005G147600g	hypothetical protein	Glycolysis / Gluconeogenesis - Phaseolus vulgaris (common bean)	http://rest.kegg.jp/get/pvu00010/image
PHAVU_005G165100g	hypothetical protein	Glycolysis / Gluconeogenesis - Phaseolus vulgaris (common bean)	http://rest.kegg.jp/get/pvu00010/image
PHAVU_006G0103001	hypothetical protein	Glycolysis / Gluconeogenesis - Phaseolus vulgaris (common bean)	http://rest.kegg.jp/get/pvu00010/image
PHAVU_006G048800g	hypothetical protein	Glycolysis / Gluconeogenesis - Phaseolus vulgaris (common bean)	http://rest.kegg.jp/get/pvu00010/image
PHAVU_006G109800g	hypothetical protein	Glycolysis / Gluconeogenesis - Phaseolus vulgaris (common bean)	http://rest.kegg.jp/get/pvu00010/image
PHAVU_006G122900g	hypothetical protein	Glycolysis / Gluconeogenesis - Phaseolus vulgaris (common bean)	http://rest.kegg.jp/get/pvu00010/image
PHAVU_006G145300g	hypothetical protein	Glycolysis / Gluconeogenesis - Phaseolus vulgaris (common bean)	http://rest.kegg.jp/get/pvu00010/image
PHAVU_006G165600g	hypothetical protein	Glycolysis / Gluconeogenesis - Phaseolus vulgaris (common bean)	http://rest.kegg.jp/get/pvu00010/image
PHAVU_006G177600g	hypothetical protein	Glycolysis / Gluconeogenesis - Phaseolus vulgaris (common bean)	http://rest.kegg.jp/get/pvu00010/image
PHAVU_007G026300g	hypothetical protein	Glycolysis / Gluconeogenesis - Phaseolus vulgaris (common bean)	http://rest.kegg.jp/get/pvu00010/image
PHAVU_007G033800g	hypothetical protein	Glycolysis / Gluconeogenesis - Phaseolus vulgaris (common bean)	http://rest.kegg.jp/get/pvu00010/image
PHAVU_007G047600g	hypothetical protein	Glycolysis / Gluconeogenesis - Phaseolus vulgaris (common bean)	http://rest.kegg.jp/get/pvu00010/image
PHAVU_007G064900g	hypothetical protein	Glycolysis / Gluconeogenesis - Phaseolus vulgaris (common bean)	http://rest.kegg.jp/get/pvu00010/image
PHAVU_007G077700g	hypothetical protein	Glycolysis / Gluconeogenesis - Phaseolus vulgaris (common bean)	http://rest.kegg.jp/get/pvu00010/image
PHAVU_007G079500g	hypothetical protein	Glycolysis / Gluconeogenesis - Phaseolus vulgaris (common bean)	http://rest.kegg.jp/get/pvu00010/image
PHAVU_007G090300g	hypothetical protein	Glycolysis / Gluconeogenesis - Phaseolus vulgaris (common bean)	http://rest.kegg.jp/get/pvu00010/image
PHAVU_007G106100g	hypothetical protein	Glycolysis / Gluconeogenesis - Phaseolus vulgaris (common bean)	http://rest.kegg.jp/get/pvu00010/image
PHAVU_007G106200g	hypothetical protein	Glycolysis / Gluconeogenesis - Phaseolus vulgaris (common bean)	http://rest.kegg.jp/get/pvu00010/image
PHAVU_007G110900g	hypothetical protein	Glycolysis / Gluconeogenesis - Phaseolus vulgaris (common bean)	http://rest.kegg.jp/get/pvu00010/image
PHAVU_007G136000g	hypothetical protein	Glycolysis / Gluconeogenesis - Phaseolus vulgaris (common bean)	http://rest.kegg.jp/get/pvu00010/image
PHAVU_007G1542001	hypothetical protein	Glycolysis / Gluconeogenesis - Phaseolus vulgaris (common bean)	http://rest.kegg.jp/get/pvu00010/image
PHAVU_007G222900g	hypothetical protein	Glycolysis / Gluconeogenesis - Phaseolus vulgaris (common bean)	http://rest.kegg.jp/get/pvu00010/image
PHAVU_007G224500g	hypothetical protein	Glycolysis / Gluconeogenesis - Phaseolus vulgaris (common bean)	http://rest.kegg.jp/get/pvu00010/image
PHAVU_007G2449000	hypothetical protein	Glycolysis / Gluconeogenesis - Phaseolus vulgaris (common bean)	http://rest.kegg.jp/get/pvu00010/image
PHAVU_008G000800g	hypothetical protein	Glycolysis / Gluconeogenesis - Phaseolus vulgaris (common bean)	http://rest.kegg.jp/get/pvu00010/image
PHAVU_008G042600g	hypothetical protein	Glycolysis / Gluconeogenesis - Phaseolus vulgaris (common bean)	http://rest.kegg.jp/get/pvu00010/image
PHAVU_008G077900g	hypothetical protein	Glycolysis / Gluconeogenesis - Phaseolus vulgaris (common bean)	http://rest.kegg.jp/get/pvu00010/image
PHAVU_008G095400g	hypothetical protein	Glycolysis / Gluconeogenesis - Phaseolus vulgaris (common bean)	http://rest.kegg.jp/get/pvu00010/image
PHAVU_008G112000g	hypothetical protein	Glycolysis / Gluconeogenesis - Phaseolus vulgaris (common bean)	http://rest.kegg.jp/get/pvu00010/image
PHAVU_008G128600g	hypothetical protein	Glycolysis / Gluconeogenesis - Phaseolus vulgaris (common bean)	http://rest.kegg.jp/get/pvu00010/image
PHAVU_008G171600g	hypothetical protein	Glycolysis / Gluconeogenesis - Phaseolus vulgaris (common bean)	http://rest.kegg.jp/get/pvu00010/image
PHAVU_008G180200g	hypothetical protein	Glycolysis / Gluconeogenesis - Phaseolus vulgaris (common bean)	http://rest.kegg.jp/get/pvu00010/image
PHAVU_008G189200g	hypothetical protein	Glycolysis / Gluconeogenesis - Phaseolus vulgaris (common bean)	http://rest.kegg.jp/get/pvu00010/image
PHAVU_008G207700g	hypothetical protein	Glycolysis / Gluconeogenesis - Phaseolus vulgaris (common bean)	http://rest.kegg.jp/get/pvu00010/image
PHAVU_008G2078000	hypothetical protein	Glycolysis / Gluconeogenesis - Phaseolus vulgaris (common bean)	http://rest.kegg.jp/get/pvu00010/image
PHAVU_008G207900g	hypothetical protein	Glycolysis / Gluconeogenesis - Phaseolus vulgaris (common bean)	http://rest.kegg.jp/get/pvu00010/image
PHAVU_008G282000g	hypothetical protein	Glycolysis / Gluconeogenesis - Phaseolus vulgaris (common bean)	http://rest.kegg.jp/get/pvu00010/image
PHAVU_008G283800g	hypothetical protein	Glycolysis / Gluconeogenesis - Phaseolus vulgaris (common bean)	http://rest.kegg.jp/get/pvu00010/image
PHAVU_009G003100g	hypothetical protein	Glycolysis / Gluconeogenesis - Phaseolus vulgaris (common bean)	http://rest.kegg.jp/get/pvu00010/image
PHAVU_009G029000g	hypothetical protein	Glycolysis / Gluconeogenesis - Phaseolus vulgaris (common bean)	http://rest.kegg.jp/get/pvu00010/image
PHAVU_009G057500g	hypothetical protein	Glycolysis / Gluconeogenesis - Phaseolus vulgaris (common bean)	http://rest.kegg.jp/get/pvu00010/image
PHAVU_009G112400g	hypothetical protein	Glycolysis / Gluconeogenesis - Phaseolus vulgaris (common bean)	http://rest.kegg.jp/get/pvu00010/image
PHAVU_009G112500g	hypothetical protein	Glycolysis / Gluconeogenesis - Phaseolus vulgaris (common bean)	http://rest.kegg.jp/get/pvu00010/image
PHAVU_009G126400g	hypothetical protein	Glycolysis / Gluconeogenesis - Phaseolus vulgaris (common bean)	http://rest.kegg.jp/get/pvu00010/image
PHAVU_009G134700g	hypothetical protein	Glycolysis / Gluconeogenesis - Phaseolus vulgaris (common bean)	http://rest.kegg.jp/get/pvu00010/image
PHAVU_009G149500g	hypothetical protein	Glycolysis / Gluconeogenesis - Phaseolus vulgaris (common bean)	http://rest.kegg.jp/get/pvu00010/image
PHAVU_009G1684000	hypothetical protein	Glycolysis / Gluconeogenesis - Phaseolus vulgaris (common bean)	http://rest.kegg.jp/get/pvu00010/image
PHAVU_009G1684001	hypothetical protein	Glycolysis / Gluconeogenesis - Phaseolus vulgaris (common bean)	http://rest.kegg.jp/get/pvu00010/image
PHAVU_009G1685000	hypothetical protein	Glycolysis / Gluconeogenesis - Phaseolus vulgaris (common bean)	http://rest.kegg.jp/get/pvu00010/image
PHAVU_009G1685001	hypothetical protein	Glycolysis / Gluconeogenesis - Phaseolus vulgaris (common bean)	http://rest.kegg.jp/get/pvu00010/image
PHAVU_009G191100g	hypothetical protein	Glycolysis / Gluconeogenesis - Phaseolus vulgaris (common bean)	http://rest.kegg.jp/get/pvu00010/image
PHAVU_009G226700g	hypothetical protein	Glycolysis / Gluconeogenesis - Phaseolus vulgaris (common bean)	http://rest.kegg.jp/get/pvu00010/image
PHAVU_009G238300g	hypothetical protein	Glycolysis / Gluconeogenesis - Phaseolus vulgaris (common bean)	http://rest.kegg.jp/get/pvu00010/image
PHAVU_009G254900g	hypothetical protein	Glycolysis / Gluconeogenesis - Phaseolus vulgaris (common bean)	http://rest.kegg.jp/get/pvu00010/image
PHAVU_009G257800g	hypothetical protein	Glycolysis / Gluconeogenesis - Phaseolus vulgaris (common bean)	http://rest.kegg.jp/get/pvu00010/image
PHAVU_010G016600g	hypothetical protein	Glycolysis / Gluconeogenesis - Phaseolus vulgaris (common bean)	http://rest.kegg.jp/get/pvu00010/image
PHAVU_010G016700g	hypothetical protein	Glycolysis / Gluconeogenesis - Phaseolus vulgaris (common bean)	http://rest.kegg.jp/get/pvu00010/image
PHAVU_010G016800g	hypothetical protein	Glycolysis / Gluconeogenesis - Phaseolus vulgaris (common bean)	http://rest.kegg.jp/get/pvu00010/image
PHAVU_010G016900g	hypothetical protein	Glycolysis / Gluconeogenesis - Phaseolus vulgaris (common bean)	http://rest.kegg.jp/get/pvu00010/image
PHAVU_010G017200g	hypothetical protein	Glycolysis / Gluconeogenesis - Phaseolus vulgaris (common bean)	http://rest.kegg.jp/get/pvu00010/image
PHAVU_010G017300g	hypothetical protein	Glycolysis / Gluconeogenesis - Phaseolus vulgaris (common bean)	http://rest.kegg.jp/get/pvu00010/image
PHAVU_010G078000g	hypothetical protein	Glycolysis / Gluconeogenesis - Phaseolus vulgaris (common bean)	http://rest.kegg.jp/get/pvu00010/image
PHAVU_010G119600g	hypothetical protein	Glycolysis / Gluconeogenesis - Phaseolus vulgaris (common bean)	http://rest.kegg.jp/get/pvu00010/image
PHAVU_010G134600g	hypothetical protein	Glycolysis / Gluconeogenesis - Phaseolus vulgaris (common bean)	http://rest.kegg.jp/get/pvu00010/image
PHAVU_010G143900g	hypothetical protein	Glycolysis / Gluconeogenesis - Phaseolus vulgaris (common bean)	http://rest.kegg.jp/get/pvu00010/image
PHAVU_010G144900g	hypothetical protein	Glycolysis / Gluconeogenesis - Phaseolus vulgaris (common bean)	http://rest.kegg.jp/get/pvu00010/image
PHAVU_010G163100g	hypothetical protein	Glycolysis / Gluconeogenesis - Phaseolus vulgaris (common bean)	http://rest.kegg.jp/get/pvu00010/image
PHAVU_011G018000g	hypothetical protein	Glycolysis / Gluconeogenesis - Phaseolus vulgaris (common bean)	http://rest.kegg.jp/get/pvu00010/image
PHAVU_011G023700g	hypothetical protein	Glycolysis / Gluconeogenesis - Phaseolus vulgaris (common bean)	http://rest.kegg.jp/get/pvu00010/image
PHAVU_011G039100g	hypothetical protein	Glycolysis / Gluconeogenesis - Phaseolus vulgaris (common bean)	http://rest.kegg.jp/get/pvu00010/image
PHAVU_011G059400g	hypothetical protein	Glycolysis / Gluconeogenesis - Phaseolus vulgaris (common bean)	http://rest.kegg.jp/get/pvu00010/image
PHAVU_001G222900g	hypothetical protein	Citrate cycle (TCA cycle) - Phaseolus vulgaris (common bean)	http://rest.kegg.jp/get/pvu00020/image
PHAVU_002G029800g	hypothetical protein	Citrate cycle (TCA cycle) - Phaseolus vulgaris (common bean)	http://rest.kegg.jp/get/pvu00020/image
PHAVU_002G064600g	hypothetical protein	Citrate cycle (TCA cycle) - Phaseolus vulgaris (common bean)	http://rest.kegg.jp/get/pvu00020/image
PHAVU_002G077600g	hypothetical protein	Citrate cycle (TCA cycle) - Phaseolus vulgaris (common bean)	http://rest.kegg.jp/get/pvu00020/image
PHAVU_002G105000g	hypothetical protein	Citrate cycle (TCA cycle) - Phaseolus vulgaris (common bean)	http://rest.kegg.jp/get/pvu00020/image
PHAVU_002G114600g	hypothetical protein	Citrate cycle (TCA cycle) - Phaseolus vulgaris (common bean)	http://rest.kegg.jp/get/pvu00020/image
PHAVU_002G139200g	hypothetical protein	Citrate cycle (TCA cycle) - Phaseolus vulgaris (common bean)	http://rest.kegg.jp/get/pvu00020/image
PHAVU_002G216800g	hypothetical protein	Citrate cycle (TCA cycle) - Phaseolus vulgaris (common bean)	http://rest.kegg.jp/get/pvu00020/image
PHAVU_003G035200g	hypothetical protein	Citrate cycle (TCA cycle) - Phaseolus vulgaris (common bean)	http://rest.kegg.jp/get/pvu00020/image
PHAVU_003G056300g	hypothetical protein	Citrate cycle (TCA cycle) - Phaseolus vulgaris (common bean)	http://rest.kegg.jp/get/pvu00020/image
PHAVU_003G112300g	hypothetical protein	Citrate cycle (TCA cycle) - Phaseolus vulgaris (common bean)	http://rest.kegg.jp/get/pvu00020/image
PHAVU_003G114300g	hypothetical protein	Citrate cycle (TCA cycle) - Phaseolus vulgaris (common bean)	http://rest.kegg.jp/get/pvu00020/image
PHAVU_003G118800g	hypothetical protein	Citrate cycle (TCA cycle) - Phaseolus vulgaris (common bean)	http://rest.kegg.jp/get/pvu00020/image
PHAVU_003G189700g	hypothetical protein	Citrate cycle (TCA cycle) - Phaseolus vulgaris (common bean)	http://rest.kegg.jp/get/pvu00020/image
PHAVU_003G253200g	hypothetical protein	Citrate cycle (TCA cycle) - Phaseolus vulgaris (common bean)	http://rest.kegg.jp/get/pvu00020/image
PHAVU_003G268900g	hypothetical protein	Citrate cycle (TCA cycle) - Phaseolus vulgaris (common bean)	http://rest.kegg.jp/get/pvu00020/image
PHAVU_003G285900g	hypothetical protein	Citrate cycle (TCA cycle) - Phaseolus vulgaris (common bean)	http://rest.kegg.jp/get/pvu00020/image
PHAVU_004G011200g	hypothetical protein	Citrate cycle (TCA cycle) - Phaseolus vulgaris (common bean)	http://rest.kegg.jp/get/pvu00020/image
PHAVU_004G139300g	hypothetical protein	Citrate cycle (TCA cycle) - Phaseolus vulgaris (common bean)	http://rest.kegg.jp/get/pvu00020/image
PHAVU_005G041600g	hypothetical protein	Citrate cycle (TCA cycle) - Phaseolus vulgaris (common bean)	http://rest.kegg.jp/get/pvu00020/image
PHAVU_005G043500g	hypothetical protein	Citrate cycle (TCA cycle) - Phaseolus vulgaris (common bean)	http://rest.kegg.jp/get/pvu00020/image
PHAVU_005G043900g	hypothetical protein	Citrate cycle (TCA cycle) - Phaseolus vulgaris (common bean)	http://rest.kegg.jp/get/pvu00020/image
PHAVU_005G115100g	hypothetical protein	Citrate cycle (TCA cycle) - Phaseolus vulgaris (common bean)	http://rest.kegg.jp/get/pvu00020/image
PHAVU_006G035500g	hypothetical protein	Citrate cycle (TCA cycle) - Phaseolus vulgaris (common bean)	http://rest.kegg.jp/get/pvu00020/image
PHAVU_006G118100g	hypothetical protein	Citrate cycle (TCA cycle) - Phaseolus vulgaris (common bean)	http://rest.kegg.jp/get/pvu00020/image
PHAVU_006G165600g	hypothetical protein	Citrate cycle (TCA cycle) - Phaseolus vulgaris (common bean)	http://rest.kegg.jp/get/pvu00020/image
PHAVU_007G011400g	hypothetical protein	Citrate cycle (TCA cycle) - Phaseolus vulgaris (common bean)	http://rest.kegg.jp/get/pvu00020/image
PHAVU_007G026300g	hypothetical protein	Citrate cycle (TCA cycle) - Phaseolus vulgaris (common bean)	http://rest.kegg.jp/get/pvu00020/image
PHAVU_007G090300g	hypothetical protein	Citrate cycle (TCA cycle) - Phaseolus vulgaris (common bean)	http://rest.kegg.jp/get/pvu00020/image
PHAVU_007G106200g	hypothetical protein	Citrate cycle (TCA cycle) - Phaseolus vulgaris (common bean)	http://rest.kegg.jp/get/pvu00020/image
PHAVU_007G150400g	hypothetical protein	Citrate cycle (TCA cycle) - Phaseolus vulgaris (common bean)	http://rest.kegg.jp/get/pvu00020/image
PHAVU_007G190800g	hypothetical protein	Citrate cycle (TCA cycle) - Phaseolus vulgaris (common bean)	http://rest.kegg.jp/get/pvu00020/image
PHAVU_007G217600g	hypothetical protein	Citrate cycle (TCA cycle) - Phaseolus vulgaris (common bean)	http://rest.kegg.jp/get/pvu00020/image
PHAVU_007G217700g	hypothetical protein	Citrate cycle (TCA cycle) - Phaseolus vulgaris (common bean)	http://rest.kegg.jp/get/pvu00020/image
PHAVU_007G273500g	hypothetical protein	Citrate cycle (TCA cycle) - Phaseolus vulgaris (common bean)	http://rest.kegg.jp/get/pvu00020/image
PHAVU_008G000800g	hypothetical protein	Citrate cycle (TCA cycle) - Phaseolus vulgaris (common bean)	http://rest.kegg.jp/get/pvu00020/image
PHAVU_008G014400g	hypothetical protein	Citrate cycle (TCA cycle) - Phaseolus vulgaris (common bean)	http://rest.kegg.jp/get/pvu00020/image
PHAVU_008G036400g	hypothetical protein	Citrate cycle (TCA cycle) - Phaseolus vulgaris (common bean)	http://rest.kegg.jp/get/pvu00020/image
PHAVU_008G239900g	hypothetical protein	Citrate cycle (TCA cycle) - Phaseolus vulgaris (common bean)	http://rest.kegg.jp/get/pvu00020/image
PHAVU_008G269300g	hypothetical protein	Citrate cycle (TCA cycle) - Phaseolus vulgaris (common bean)	http://rest.kegg.jp/get/pvu00020/image
PHAVU_008G291500g	hypothetical protein	Citrate cycle (TCA cycle) - Phaseolus vulgaris (common bean)	http://rest.kegg.jp/get/pvu00020/image
PHAVU_009G254900g	hypothetical protein	Citrate cycle (TCA cycle) - Phaseolus vulgaris (common bean)	http://rest.kegg.jp/get/pvu00020/image
PHAVU_009G257800g	hypothetical protein	Citrate cycle (TCA cycle) - Phaseolus vulgaris (common bean)	http://rest.kegg.jp/get/pvu00020/image
