A0A072TVB3	MTR_0013s0190
A0A072TJY2	MTR_0013s0230
A0A072TJ61	MTR_0013s0270
A0A072TKU0	MTR_0013s0290
A0A072TIU8	MTR_0013s0330
A0A072TVB7	MTR_0013s0400
A0A072TJ44	MTR_0014s0040
A0A072TJW0	MTR_0014s0010
A0A072TIT1	MTR_0014s0110
A0A072TV92	MTR_0014s0120
A0A072TJW4	MTR_0014s0140
A0A072TJ45	MTR_0014s0150
A0A072TKS0	MTR_0014s0180
A0A072TIT3	MTR_0014s0200
A0A072TV94	MTR_0014s0210
A0A072TJW9	MTR_0014s0220
A0A072TJ47	MTR_0014s0250
A0A072TKS4	MTR_0014s0260
A0A072TIT6	MTR_0014s0300
A0A072TV97	MTR_0014s0310
A0A072TJX3	MTR_0014s0350
A0A072TJ52	MTR_0014s0390
A0A072TKS7	MTR_0014s0410
A0A072TIT9	MTR_0014s0420
A0A072TVA2	MTR_0014s0440
A0A072TJ54	MTR_0014s0490
A0A072TV66	MTR_0015s0020
A0A072TJU7	MTR_0015s0030
A0A072TJ33	MTR_0015s0060
A0A072TKQ2	MTR_0015s0090
A0A072TIS1	MTR_0015s0100
A0A072TKQ7	MTR_0015s0110
A0A072TIS3	MTR_0015s0120
B7FIH3	MTR_0015s0130
A0A072TJV7	MTR_0015s0140
A0A072TKR1	MTR_0015s0160
A0A072TIS7	MTR_0015s0170
A0A072TV89	MTR_0015s0230
A0A072TJ27	MTR_0016s0010
A0A072TKP3	MTR_0016s0020
A0A072TIR4	MTR_0016s0030
A0A072TV60	MTR_0016s0040
A0A072TJU3	MTR_0016s0050
A0A072TJ31	MTR_0016s0060
A0A072TKP7	MTR_0016s0150
A0A072TIR7	MTR_0016s0170
A0A072TJ23	MTR_0017s0080
A0A072TKN6	MTR_0017s0090
A0A072TIP9	MTR_0017s0100
A0A072TV53	MTR_0017s0160
A0A072TJU0	MTR_0017s0190
G7ZXR2	MTR_0017s0200
A0A072TKN8	MTR_0017s0230
G7ZXQ8	MTR_0017s0240
A0A072TV57	MTR_0017s0270
A0A072TJU2	MTR_0017s0290
A0A072TIN9	MTR_0018s0050
A0A072TV39	MTR_0018s0090
A0A072TJ09	MTR_0018s0170
A0A072TKM7	MTR_0018s0220
A0A072TIP1	MTR_0018s0230
A0A072TJT4	MTR_0018s0240
A0A072TJ20	MTR_0018s0260
A0A072TKN2	MTR_0018s0290
A0A072TIP4	MTR_0018s0300
A0A072TV48	MTR_0018s0310
I3T233	MTR_0018s0320
A0A072TIY3	MTR_0019s0020
A0A072TJP4	MTR_0019s0010
A0A072TIY6	MTR_0019s0040
