V7CUA9	PHAVU_001G023800g
V7CRQ3	PHAVU_001G023900g
V7CU06	PHAVU_001G024000g
V7CRW8	PHAVU_001G024100g
V7CUB4	PHAVU_001G024200g
V7CVD5	PHAVU_001G024300g
V7CRQ8	PHAVU_001G024400g
V7CU09	PHAVU_001G024500g
V7CRX2	PHAVU_001G024600g
V7CUB8	PHAVU_001G024700g
V7CVE0	PHAVU_001G024800g
V7CRR3	PHAVU_001G024900g
V7CU13	PHAVU_001G025000g
V7CRX7	PHAVU_001G025100g
V7CUC3	PHAVU_001G025200g
V7CVE3	PHAVU_001G025300g
V7CRS0	PHAVU_001G025400g
V7CU17	PHAVU_001G025500g
V7CRY1	PHAVU_001G025600g
V7CUC8	PHAVU_001G025700g
V7CVE6	PHAVU_001G025800g
V7CRS4	PHAVU_001G025900g
V7CU21	PHAVU_001G026000g
V7CRY6	PHAVU_001G026100g
V7CUD3	PHAVU_001G026200g
V7CVF0	PHAVU_001G026300g
V7CU27	PHAVU_001G026400g
V7CUD8	PHAVU_001G026500g
V7CVF5	PHAVU_001G026600g
V7CRT3	PHAVU_001G026700g
V7CU31	PHAVU_001G026800g
V7CRZ5	PHAVU_001G026900g
V7CUE2	PHAVU_001G027000g
V7CVF9	PHAVU_001G027100g
V7CRT6	PHAVU_001G027200g
V7CVG4	PHAVU_001G027600g
V7CU36	PHAVU_001G027300g
V7CRZ9	PHAVU_001G027400g
V7CUE6	PHAVU_001G027500g
V7CU40	PHAVU_001G027700g
V7CS03	PHAVU_001G027800g
V7CUF2	PHAVU_001G027900g
V7CVG8	PHAVU_001G028000g
V7CVH2	PHAVU_001G028400g
V7CRU6	PHAVU_001G028100g
V7CS06	PHAVU_001G028200g
V7CUF6	PHAVU_001G028300g
V7CRU9	PHAVU_001G028500g
V7CU50	PHAVU_001G028600g
V7CS12	PHAVU_001G028700g
V7CUG0	PHAVU_001G028800g
V7CVH6	PHAVU_001G028900g
V7CRV2	PHAVU_001G029000g
V7CS15	PHAVU_001G029100g
V7CUG6	PHAVU_001G029200g
V7CVI0	PHAVU_001G029300g
V7CRV7	PHAVU_001G029400g
V7CS18	PHAVU_001G029500g
V7CUH1	PHAVU_001G029600g
V7CVI4	PHAVU_001G029700g
V7CU66	PHAVU_001G029800g
V7CRW2	PHAVU_001G029900g
V7CUH6	PHAVU_001G030000g
V7CVI8	PHAVU_001G030100g
V7CRW6	PHAVU_001G030200g
V7CU72	PHAVU_001G030300g
V7CS27	PHAVU_001G030400g
V7CUI1	PHAVU_001G030500g
V7CVJ0	PHAVU_001G030600g
V7CRX0	PHAVU_001G030700g
V7CU78	PHAVU_001G030800g
V7CS32	PHAVU_001G030900g
V7CUI3	PHAVU_001G031000g
V7CVJ5	PHAVU_001G031100g
V7CRX5	PHAVU_001G031200g
V7CU85	PHAVU_001G031300g
V7CS37	PHAVU_001G031400g
V7CUI9	PHAVU_001G031500g
V7CVJ9	PHAVU_001G031600g
V7CRY0	PHAVU_001G031700g
V7CS42	PHAVU_001G031800g
V7CUJ5	PHAVU_001G031900g
V7CRY5	PHAVU_001G032000g
V7CU95	PHAVU_001G032100g
V7CS47	PHAVU_001G032200g
V7CVK9	PHAVU_001G032300g
V7CUA0	PHAVU_001G032400g
V7CS53	PHAVU_001G032500g
V7CUK3	PHAVU_001G032600g
V7CVL3	PHAVU_001G032700g
V7CRZ6	PHAVU_001G032800g
V7CUA3	PHAVU_001G032900g
V7CUK8	PHAVU_001G033000g
V7CVL9	PHAVU_001G033100g
V7CS00	PHAVU_001G033200g
V7CS65	PHAVU_001G033300g
V7CUB3	PHAVU_001G033400g
V7CS69	PHAVU_001G033500g
V7CVN1	PHAVU_001G0336000
V7CUL9	PHAVU_001G0336001
V7CS09	PHAVU_001G033700g
V7CS74	PHAVU_001G033800g
V7CUM5	PHAVU_001G033900g
V7CVN6	PHAVU_001G034000g
V7CS14	PHAVU_001G034100g
V7CUC5	PHAVU_001G034200g
V7CS79	PHAVU_001G034300g
V7CUN0	PHAVU_001G034400g
V7CVP1	PHAVU_001G034500g
V7CUD2	PHAVU_001G034600g
V7CUN4	PHAVU_001G034700g
V7CVP5	PHAVU_001G034800g
V7CUN9	PHAVU_001G034900g
V7CS30	PHAVU_001G035000g
V7CVP9	PHAVU_001G035100g
V7CS35	PHAVU_001G035200g
V7CUE3	PHAVU_001G035300g
V7CS93	PHAVU_001G035400g
V7CUP6	PHAVU_001G035500g
V7CVQ4	PHAVU_001G035600g
V7CS41	PHAVU_001G035700g
V7CUE8	PHAVU_001G035800g
V7CUQ0	PHAVU_001G035900g
V7CVQ9	PHAVU_001G036000g
V7CS46	PHAVU_001G036100g
V7CUF3	PHAVU_001G036200g
V7CSA3	PHAVU_001G036300g
V7CUQ5	PHAVU_001G036400g
V7CVR4	PHAVU_001G036500g
V7CS50	PHAVU_001G036600g
V7CUF8	PHAVU_001G036700g
V7CVS0	PHAVU_001G036800g
V7CS55	PHAVU_001G036900g
V7CSB2	PHAVU_001G037000g
V7CUR3	PHAVU_001G037100g
V7CS60	PHAVU_001G037200g
V7CSB7	PHAVU_001G037300g
V7CUR9	PHAVU_001G037400g
V7CVT0	PHAVU_001G037500g
V7CS64	PHAVU_001G037600g
V7CUH4	PHAVU_001G037700g
V7CSC2	PHAVU_001G037800g
T2DMB7	PHAVU_001G037900g
V7CVT5	PHAVU_001G038000g
V7CS68	PHAVU_001G038100g
V7CUH8	PHAVU_001G038200g
V7CVU1	PHAVU_001G038300g
V7CS73	PHAVU_001G038400g
V7CSD0	PHAVU_001G038500g
V7CVU6	PHAVU_001G038600g
V7CS78	PHAVU_001G038700g
V7CUJ0	PHAVU_001G038800g
V7BQB0	PHAVU_001G038900g
V7CUT2	PHAVU_001G039000g
V7CVV0	PHAVU_001G039100g
V7CS83	PHAVU_001G039200g
V7CSE0	PHAVU_001G0393000
V7CUJ4	PHAVU_001G0393001
V7CUT9	PHAVU_001G039400g
V7CVV5	PHAVU_001G039500g
V7CUU4	PHAVU_001G039900g
V7CS86	PHAVU_001G039600g
V7CUK1	PHAVU_001G039700g
V7CSE6	PHAVU_001G039800g
V7CVV9	PHAVU_001G040000g
V7CS91	PHAVU_001G040100g
V7CSF0	PHAVU_001G040200g
V7CUV1	PHAVU_001G040300g
V7CVW4	PHAVU_001G040400g
V7CS95	PHAVU_001G040500g
V7CUL1	PHAVU_001G040600g
V7CSF6	PHAVU_001G040700g
V7CUV7	PHAVU_001G040800g
V7CVX1	PHAVU_001G040900g
V7CSA0	PHAVU_001G041000g
V7CUL5	PHAVU_001G041100g
V7CSG1	PHAVU_001G041200g
V7CUW2	PHAVU_001G041300g
V7CVX6	PHAVU_001G041400g
V7CSA4	PHAVU_001G041500g
V7CUM1	PHAVU_001G041600g
V7CSG6	PHAVU_001G041700g
V7CUW7	PHAVU_001G041800g
V7CSB1	PHAVU_001G041900g
V7CSH0	PHAVU_001G042000g
V7CVY9	PHAVU_001G042100g
V7CSH5	PHAVU_001G042200g
V7CUX8	PHAVU_001G042300g
V7CVZ4	PHAVU_001G042400g
V7CSC3	PHAVU_001G042500g
V7CUN5	PHAVU_001G042600g
V7CSI0	PHAVU_001G042700g
V7CUY3	PHAVU_001G042800g
V7CSC8	PHAVU_001G0429000
V7CVZ9	PHAVU_001G0429001
V7CUP0	PHAVU_001G043000g
V7CSI4	PHAVU_001G043100g
V7CW06	PHAVU_001G043200g
V7CSD3	PHAVU_001G043300g
V7CUP5	PHAVU_001G043400g
V7CSI8	PHAVU_001G043500g
V7CUZ3	PHAVU_001G043600g
V7CW12	PHAVU_001G043700g
V7CSD8	PHAVU_001G043800g
T2DNP9	PHAVU_001G043900g
V7CSJ2	PHAVU_001G044000g
V7CW16	PHAVU_001G044100g
V7CSE3	PHAVU_001G044200g
V7CUQ6	PHAVU_001G044300g
V7CSJ6	PHAVU_001G044400g
V7CV04	PHAVU_001G044500g
V7CW20	PHAVU_001G044600g
V7CUQ9	PHAVU_001G044700g
V7CSK1	PHAVU_001G044800g
V7CW26	PHAVU_001G044900g
V7CUR4	PHAVU_001G045000g
V7CSK5	PHAVU_001G045100g
V7CW30	PHAVU_001G045200g
V7CSM4	PHAVU_001G045300g
V7CV30	PHAVU_001G045400g
V7CW44	PHAVU_001G045500g
V7CSH4	PHAVU_001G045600g
V7CUS9	PHAVU_001G045700g
V7CSP7	PHAVU_001G045800g
V7CV54	PHAVU_001G045900g
V7CSJ9	PHAVU_001G046000g
V7CW61	PHAVU_001G046400g
V7CUU2	PHAVU_001G046100g
V7CSQ2	PHAVU_001G046200g
V7CV59	PHAVU_001G046300g
V7CSK3	PHAVU_001G046500g
V7CUU6	PHAVU_001G046600g
V7CSQ7	PHAVU_001G046700g
V7CV62	PHAVU_001G046800g
V7CW73	PHAVU_001G046900g
V7CUU9	PHAVU_001G0470000
V7CSK7	PHAVU_001G0470001
V7CSR2	PHAVU_001G047100g
V7CV67	PHAVU_001G047200g
V7CW78	PHAVU_001G047300g
V7CSL1	PHAVU_001G047400g
V7CUV5	PHAVU_001G047500g
V7CSR7	PHAVU_001G047600g
V7CV74	PHAVU_001G047700g
V7CSS2	PHAVU_001G047800g
V7CV80	PHAVU_001G047900g
V7CW85	PHAVU_001G048000g
V7CSL9	PHAVU_001G048100g
V7CUX2	PHAVU_001G048200g
V7CSS7	PHAVU_001G048300g
V7CV83	PHAVU_001G048400g
V7CW89	PHAVU_001G048500g
V7CST1	PHAVU_001G0486000
V7CUX7	PHAVU_001G0486001
V7CW92	PHAVU_001G048700g
V7CSM6	PHAVU_001G048800g
V7CST5	PHAVU_001G048900g
V7CUY6	PHAVU_001G0490000
V7CV94	PHAVU_001G0490001
V7CST9	PHAVU_001G049100g
V7CVA0	PHAVU_001G049200g
V7CWA0	PHAVU_001G049300g
V7CSN4	PHAVU_001G049400g
V7CUZ2	PHAVU_001G049500g
V7CVA5	PHAVU_001G049600g
V7CWA3	PHAVU_001G049700g
V7CSN8	PHAVU_001G049800g
V7CUZ9	PHAVU_001G049900g
V7CSU8	PHAVU_001G050000g
V7CVA9	PHAVU_001G050100g
V7CWA8	PHAVU_001G050200g
V7CSP2	PHAVU_001G050300g
V7CV05	PHAVU_001G050400g
V7CSV5	PHAVU_001G050500g
V7CVB4	PHAVU_001G050600g
V7CWB2	PHAVU_001G050700g
V7CSP6	PHAVU_001G050800g
V7CV08	PHAVU_001G050900g
V7CVB8	PHAVU_001G051000g
V7CSQ1	PHAVU_001G051100g
V7CV13	PHAVU_001G051200g
V7CWC0	PHAVU_001G051300g
V7CSQ4	PHAVU_001G051400g
V7CV17	PHAVU_001G051500g
V7CSW7	PHAVU_001G051600g
V7CV21	PHAVU_001G051900g
V7CVC6	PHAVU_001G051700g
V7CSR0	PHAVU_001G0518000
V7CWC5	PHAVU_001G0518001
V7CSX3	PHAVU_001G052000g
V7CVD0	PHAVU_001G052100g
V7CWC8	PHAVU_001G052200g
V7CSR5	PHAVU_001G052300g
V7CV25	PHAVU_001G052400g
V7CSX6	PHAVU_001G052500g
V7CWD4	PHAVU_001G052600g
V7CVD4	PHAVU_001G052700g
V7CSY1	PHAVU_001G052800g
V7CVD9	PHAVU_001G052900g
V7CWD9	PHAVU_001G053000g
V7CSS6	PHAVU_001G053100g
V7CV34	PHAVU_001G053200g
V7CSY6	PHAVU_001G053300g
V7CVE4	PHAVU_001G053400g
V7CWE4	PHAVU_001G053500g
V7CST0	PHAVU_001G053600g
V7CV39	PHAVU_001G053700g
V7CSZ0	PHAVU_001G053800g
V7CWE8	PHAVU_001G0539000
V7CVE8	PHAVU_001G0539001
V7CST6	PHAVU_001G054000g
V7CV43	PHAVU_001G054100g
V7CW97	PHAVU_001G054200g
V7CVF2	PHAVU_001G054300g
V7CWF3	PHAVU_001G054400g
V7CWF8	PHAVU_001G054800g
V7CSU1	PHAVU_001G054500g
V7CT01	PHAVU_001G054600g
V7CVF3	PHAVU_001G054700g
V7CSU6	PHAVU_001G054900g
V7CV51	PHAVU_001G055000g
V7CVF8	PHAVU_001G0551000
V7CT04	PHAVU_001G0551001
V7CWG2	PHAVU_001G055200g
V7CSV0	PHAVU_001G055300g
V7CV56	PHAVU_001G055400g
V7CVG3	PHAVU_001G055500g
V7CWG7	PHAVU_001G055600g
V7CT14	PHAVU_001G055700g
V7CWH3	PHAVU_001G0558000
V7CVG7	PHAVU_001G0558001
V7CSV8	PHAVU_001G055900g
V7CV65	PHAVU_001G056000g
V7CT19	PHAVU_001G056100g
V7CVH3	PHAVU_001G056200g
V7CWH7	PHAVU_001G056300g
V7CSW4	PHAVU_001G056400g
V7CV70	PHAVU_001G056500g
V7CT24	PHAVU_001G056600g
V7CVH8	PHAVU_001G056700g
