H0YVH0	100219414
B5FYG8	100219421
H0YUA4	100219422
H1A334	100219426
H0YVW6	100219432
H0YQ68	100219453
H0ZPB0	100219471
H0YUR7	100219498
H0Z720	100219499
H1A4S8	100219510
H0YSE8	100219521
H0YQN3	100219523
H0ZC27	100219534
H0ZNS5	100219545
H0YQQ4	100219546
H0YPA2	100219555
H0ZG86	100219559
H0ZFA0	100219563
H0ZPA0	100219582
H0YWB8	100219585
H0YWV2	100219590
H0ZQN3	100219599
H0ZMY2	100219604
H0ZCZ0	100219621
H0ZHF2	100219624
H0ZFR1	100219626
H0Z525	100219633
H0ZNN0	100219638
H0YWT5	100219645
H0ZCM9	100219648
H0ZF95	100219652
H0Z6T0	100219653
H0YZ44	100219658
H0YYZ9	100219679
H0YX61	100219680
H0ZX81	100219688
H0Z427	100219691
H0ZVU0	100219701
H0ZWR7	100219719
H0ZX33	100219740
H0YWD9	100219741
B5G3E7	100219745
H0ZWG6	100219747
B5G416	100219756
H0YQ17	100219758
H1A4H0	100219759
H0ZC66	100219778
H0YXV4	100219791
H0YUS0	100219806
H0YXJ0	100219814
H0YPL1	100219815
H0Z8C2	100219835
B5G2B3	100219839
H0ZSF8	100219840
H0ZEI8	100219848
H0ZK11	100219868
H0ZF48	100219873
H0ZM46	100219876
H0ZLQ3	100219879
H0ZMR5	100219883
H0Z2K6	100219897
H0YQ70	100219935
H0ZIV9	100219961
B5FYJ7	100219971
H0Z894	100219977
H0ZQU4	100219981
H0ZZ15	100219987
H0Z5N8	100220008
B5G0L4	100220009
H0Z4J2	100220010
H0ZP15	100220015
H0ZEB8	100220031
H0Z8D6	100220034
H0Z623	100220036
H0YUK0	100220046
H0Z162	100220053
H0ZRZ8	100220076
H0ZR91	100220080
H0ZPQ0	100220085
H0ZLJ5	100220090
H0ZTL7	100220095
H0ZSG5	100220130
H0YSA4	100220132
H0YRS5	100220136
B5FXI0	100220140
H1A474	100220141
H0ZSW9	100220142
B5FZ63	100220173
H0ZSA7	100220208
H0ZNI9	100220226
B5G1L7	100220236
H0ZRT4	100220239
P47790	100220245
H0Z7A9	100220247
H0Z942	100220252
H0Z2L6	100220256
H0ZCB6	100220269
H0ZXA3	100220281
H0Z5C1	100220306
H0Z5J4	100220310
H0Z6V4	100220330
H0Z5W5	100220336
H0ZCF8	100220342
H0Z2K7	100220343
H0Z8U8	100220353
H1A1D4	100220357
H0YP88	100220367
H0YRF5	100220373
B5KFJ5	100220376
H0YQZ3	100220379
H0ZWS7	100220397
H0YW47	100220407
H0YUD8	100220412
H0Z4S5	100220414
H0ZV12	100220421
H0YQL9	100220430
H0YW44	100220438
H0ZI24	100220458
H0YVB8	100220467
H0ZWI7	100220471
H0ZTI1	100220478
D8UWE3	100220482
H0ZPZ3	100220495
H0ZNV3	100220500
H0Z6R8	100220512
H0ZM19	100220522
H0YR52	100220524
H0ZL42	100220528
B5G2G9	100220538
H0ZQZ6	100220541
H0ZW74	100220542
H0ZG86	100220543
H0ZG05	100220545
H0ZPM4	100220575
H0ZKU7	100220577
H0YZX6	100220584
B5FYF1	100220586
B5G168	100220589
H0ZAK7	100220597
H0Z4G8	100220602
H0YXL1	100220604
H0Z4R0	100220607
H0Z7W4	100220614
H0Z4I1	100220631
H0Z076	100220641
H0Z4T4	100220652
H0Z784	100220653
H0ZXZ0	100220656
B5G139	100220663
H1A5U1	100220664
H0Z2K5	100220677
B5G021	100220693
H0Z1X4	100220716
H0ZCS5	100220731
H0Z4Z5	100220732
H0ZSS3	100220736
H0ZT56	100220757
H0YUL0	100220758
H0ZSI5	100220780
H0ZEQ3	100220785
H0Z8L6	100220804
H0ZKE7	100220806
H0ZFJ8	100220809
H1A595	100220844
H0ZIW4	100220865
H0YQA1	100220871
H0ZM49	100220880
H1A459	100220886
H0YSG4	100220905
H0ZGU6	100220909
H0Z3C2	100220916
H0YSV3	100220933
H0YYW5	100220937
H0Z5Z9	100220945
H0YV26	100220950
H0ZRS0	100220962
H0ZP66	100220967
H0ZTS4	100220971
H0ZVU9	100220972
H0ZII2	100220979
H0ZJZ8	100220988
H0Z9F0	100220989
H0Z9W1	100221029
H0YWK5	100221033
H0ZX09	100221047
H0ZKH7	100221063
H1A5E9	100221069
H0ZSC1	100221099
H0ZPZ7	100221124
H0ZNR0	100221129
H0ZRJ1	100221131
H0ZPL9	100221132
B5G3W2	100221133
H1A0I3	100221135
H0ZLB2	100221139
H0ZSL6	100221143
H0ZSH7	100221157
H0ZR00	100221166
H0ZRT2	100221171
H0ZNY9	100221176
H0ZEI2	100221179
H0Z6E8	100221181
H0Z8C8	100221197
H1A3C6	100221200
H0ZKW0	100221212
H0YP13	100221218
B5FY87	100221237
H0ZFG6	100221239
H0ZAS5	100221242
H0ZAB7	100221251
H0Z5Y8	100221270
H0ZK02	100221271
H0YZU7	100221272
H0ZV69	100221274
H0ZJ32	100221275
H0Z439	100221300
H0Z2G0	100221312
H0ZYV2	100221320
H0ZU55	100221328
H0YR06	100221329
H0ZNT5	100221338
H0YYQ1	100221339
H0YUP7	100221348
H0ZTG0	100221366
H0ZTE1	100221370
H0YQG4	100221373
H0Z2W9	100221374
H0ZTD5	100221375
B5G0L6	100221403
H0ZEI0	100221415
H0ZGA3	100221426
H0ZX45	100221432
H0ZMF5	100221434
H0Z6J3	100221440
H0Z1B2	100221444
