source	ID	GO
tobaccoDDBJ	BAA09367.1	GO:0051301
tobaccoDDBJ	BAA09367.1	GO:0051726
tobaccoDDBJ	BAA09368.1	GO:0001558
tobaccoDDBJ	BAA09368.1	GO:0005634
tobaccoDDBJ	BAA09368.1	GO:0007067
tobaccoDDBJ	BAA09368.1	GO:0010332
tobaccoDDBJ	BAA09368.1	GO:0016538
tobaccoDDBJ	BAA09368.1	GO:0051301
tobaccoDDBJ	BAA09368.1	GO:0051726
tobaccoDDBJ	BAA09369.1	GO:0000910
tobaccoDDBJ	BAA09369.1	GO:0004693
tobaccoDDBJ	BAA09369.1	GO:0004713
tobaccoDDBJ	BAA09369.1	GO:0005515
tobaccoDDBJ	BAA09369.1	GO:0005524
tobaccoDDBJ	BAA09369.1	GO:0006468
tobaccoDDBJ	BAA09369.1	GO:0007067
tobaccoDDBJ	BAA09369.1	GO:0008284
tobaccoDDBJ	BAA09369.1	GO:0008353
tobaccoDDBJ	BAA09369.1	GO:0009409
tobaccoDDBJ	BAA09369.1	GO:0009555
tobaccoDDBJ	BAA09369.1	GO:0009574
tobaccoDDBJ	BAA09369.1	GO:0009793
tobaccoDDBJ	BAA09369.1	GO:0010005
tobaccoDDBJ	BAA09369.1	GO:0042023
tobaccoDDBJ	BAA09600.1	GO:0000169
tobaccoDDBJ	BAA09600.1	GO:0000746
tobaccoDDBJ	BAA09600.1	GO:0004707
tobaccoDDBJ	BAA09600.1	GO:0004713
tobaccoDDBJ	BAA09600.1	GO:0005515
tobaccoDDBJ	BAA09600.1	GO:0005524
tobaccoDDBJ	BAA09600.1	GO:0007067
tobaccoDDBJ	BAA09600.1	GO:0009409
tobaccoDDBJ	BAA09600.1	GO:0009651
tobaccoDDBJ	BAA09600.1	GO:0009723
tobaccoDDBJ	BAA09600.1	GO:0009738
tobaccoDDBJ	BAA09600.1	GO:0009864
tobaccoDDBJ	BAA09600.1	GO:0010200
tobaccoDDBJ	BAA09600.1	GO:0042542
tobaccoDDBJ	BAA09600.1	GO:0048481
tobaccoDDBJ	BAA09600.1	GO:0051301
tobaccoDDBJ	BAA09645.1	GO:0005886
tobaccoDDBJ	BAA09645.1	GO:0009617
