source	ID	GO
chickenAffy	AF243438.CDS54.S1_s_at	GO:0006206
chickenAffy	AF243438.CDS54.S1_s_at	GO:0006260
chickenAffy	AF243438.CDS54.S1_s_at	GO:0009186
chickenAffy	AF243438.CDS55.S1_s_at	GO:0004519
chickenAffy	AF243438.CDS55.S1_s_at	GO:0006281
chickenAffy	AF243438.CDS55.S1_s_at	GO:0006355
chickenAffy	AF243438.CDS55.S1_s_at	GO:0019012
chickenAffy	AF243438.CDS56.S1_s_at	GO:0003677
chickenAffy	AF243438.CDS56.S1_s_at	GO:0006260
chickenAffy	AF243438.CDS57.S1_s_at	GO:0016020
chickenAffy	AF243438.CDS57.S1_s_at	GO:0019033
chickenAffy	AF243438.CDS58.S1_s_at	GO:0005576
chickenAffy	AF243438.CDS58.S1_s_at	GO:0005886
chickenAffy	AF243438.CDS58.S1_s_at	GO:0007165
chickenAffy	AF243438.CDS58.S1_s_at	GO:0016021
chickenAffy	AF243438.CDS59.S1_s_at	GO:0005488
chickenAffy	AF243438.CDS59.S1_s_at	GO:0016021
chickenAffy	AF243438.CDS60.S1_s_at	GO:0006355
chickenAffy	AF243438.CDS61.S1_s_at	GO:0006355
chickenAffy	AF243438.CDS61.S1_s_at	GO:0019012
chickenAffy	AF243438.CDS62.S1_s_at	GO:0003677
chickenAffy	AF243438.CDS62.S1_s_at	GO:0006355
chickenAffy	AF243438.CDS63.S1_s_at	GO:0019033
chickenAffy	AF243438.CDS64.S1_s_at	GO:0019031
chickenAffy	AF243438.CDS65.S1_s_at	GO:0016787
chickenAffy	AF243438.CDS65.S1_s_at	GO:0046080
chickenAffy	AF243438.CDS67.S1_s_at	GO:0003896
chickenAffy	AF243438.CDS67.S1_s_at	GO:0004386
chickenAffy	AF243438.CDS67.S1_s_at	GO:0005657
chickenAffy	AF243438.CDS67.S1_s_at	GO:0005730
chickenAffy	AF243438.CDS67.S1_s_at	GO:0006269
chickenAffy	AF243438.CDS67.S1_s_at	GO:0006351
chickenAffy	AF243438.CDS68.S1_s_at	GO:0007155
chickenAffy	AF243438.CDS68.S1_s_at	GO:0016020
chickenAffy	AF243438.CDS69.S1_s_at	GO:0030528
chickenAffy	AF243438.CDS69.S1_s_at	GO:0045449
chickenAffy	AF243438.CDS71.S1_s_at	GO:0019067
chickenAffy	AF243438.CDS74.S1_s_at	GO:0016021
chickenAffy	AF243438.CDS85.S1_s_at	GO:0003677
chickenAffy	AF243438.CDS85.S1_s_at	GO:0005634
chickenAffy	AF243438.CDS85.S1_s_at	GO:0006355
chickenAffy	AF243438.CDS85.S1_s_at	GO:0016563
chickenAffy	AF243438.CDS85.S1_s_at	GO:0042025
chickenAffy	AF243438.CDS85.S1_s_at	GO:0045941
chickenAffy	AF243438.CDS86.S1_s_at	GO:0016563
chickenAffy	AF243438.CDS86.S1_s_at	GO:0042025
chickenAffy	AF243438.CDS86.S1_s_at	GO:0045941
chickenAffy	AF243438.CDS91.S1_s_at	GO:0008270
chickenAffy	AF243438.CDS92.S1_s_at	GO:0016301
chickenAffy	AF243438.CDS94.S1_s_at	GO:0004674
chickenAffy	AF243438.CDS94.S1_s_at	GO:0005524
chickenAffy	AF243438.CDS94.S1_s_at	GO:0006468
chickenAffy	AF243438.CDS94.S1_s_at	GO:0009069
chickenAffy	AF243438.CDS98.S1_s_at	GO:0016020
chickenAffy	AF262571.CDS1.S1_s_at	GO:0019031
chickenAffy	AF262571.CDS1.S1_s_at	GO:0019068
chickenAffy	AJ457967.CDS2.S1_s_at	GO:0005576
chickenAffy	AY013303.CDS1.S1_s_at	GO:0005886
chickenAffy	AY013303.CDS1.S1_s_at	GO:0016021
chickenAffy	AY013303.CDS1.S1_s_at	GO:0019031
chickenAffy	AY013303.CDS2.S1_s_at	GO:0000287
chickenAffy	AY013303.CDS2.S1_s_at	GO:0003677
chickenAffy	AY013303.CDS2.S1_s_at	GO:0003723
chickenAffy	AY013303.CDS2.S1_s_at	GO:0003964
chickenAffy	AY013303.CDS2.S1_s_at	GO:0004190
chickenAffy	AY013303.CDS2.S1_s_at	GO:0004523
chickenAffy	AY013303.CDS2.S1_s_at	GO:0005198
chickenAffy	AY013303.CDS2.S1_s_at	GO:0006278
chickenAffy	AY013303.CDS2.S1_s_at	GO:0006310
chickenAffy	AY013303.CDS2.S1_s_at	GO:0006508
chickenAffy	AY013303.CDS2.S1_s_at	GO:0008270
chickenAffy	AY013303.CDS2.S1_s_at	GO:0008907
chickenAffy	AY013303.CDS2.S1_s_at	GO:0015074
chickenAffy	AY013303.CDS2.S1_s_at	GO:0016032
chickenAffy	AY013303.CDS2.S1_s_at	GO:0019028
chickenAffy	AY013303.CDS2.S1_s_at	GO:0030145
chickenAffy	AY013303.CDS2.S1_s_at	GO:0032196
chickenAffy	AY013303.CDS2.S1_s_at	GO:0051252
chickenAffy	AY013303.CDS3.S1_s_at	GO:0000287
chickenAffy	AY013303.CDS3.S1_s_at	GO:0003677
chickenAffy	AY013303.CDS3.S1_s_at	GO:0003723
chickenAffy	AY013303.CDS3.S1_s_at	GO:0003964
chickenAffy	AY013303.CDS3.S1_s_at	GO:0004190
chickenAffy	AY013303.CDS3.S1_s_at	GO:0004523
chickenAffy	AY013303.CDS3.S1_s_at	GO:0005198
chickenAffy	AY013303.CDS3.S1_s_at	GO:0006278
chickenAffy	AY013303.CDS3.S1_s_at	GO:0006310
chickenAffy	AY013303.CDS3.S1_s_at	GO:0006508
chickenAffy	AY013303.CDS3.S1_s_at	GO:0008270
chickenAffy	AY013303.CDS3.S1_s_at	GO:0008907
chickenAffy	AY013303.CDS3.S1_s_at	GO:0015074
chickenAffy	AY013303.CDS3.S1_s_at	GO:0016032
chickenAffy	AY013303.CDS3.S1_s_at	GO:0019028
chickenAffy	AY013303.CDS3.S1_s_at	GO:0032196
chickenAffy	AY013303.CDS3.S1_s_at	GO:0051252
chickenAffy	AY394492.CDS1.S1_s_at	GO:0003723
chickenAffy	AY394492.CDS1.S1_s_at	GO:0003968
chickenAffy	AY394492.CDS1.S1_s_at	GO:0005524
chickenAffy	AY394492.CDS1.S1_s_at	GO:0006144
chickenAffy	AY394492.CDS1.S1_s_at	GO:0006370
chickenAffy	AY394492.CDS1.S1_s_at	GO:0006410
chickenAffy	AY394492.CDS1.S1_s_at	GO:0008168
chickenAffy	AY394492.CDS1.S1_s_at	GO:0019012
chickenAffy	AY394492.CDS1.S1_s_at	GO:0031379
chickenAffy	AY510475.CDS4.S1_at	GO:0016021
chickenAffy	AY510475.CDS45.S1_s_at	GO:0003677
chickenAffy	AY510475.CDS45.S1_s_at	GO:0016021
chickenAffy	AY510475.CDS6.S1_s_at	GO:0003700
