geneID	Description	Pathway	Pathway_map
420107	uncharacterized protein LOC420107 isoform X2	-	-
420109	GATAD2A; transcriptional repressor p66-alpha	-	-
424481	RWDD3; RWD domain-containing protein 3	-	-
424482	HCCS; cytochrome c-type heme lyase	Porphyrin and chlorophyll metabolism - Gallus gallus (chicken)	http://rest.kegg.jp/get/gga00860/image
424483	TMEM56; transmembrane protein 56	-	-
424484	ALG14; UDP-N-acetylglucosamine transferase subunit ALG14 homolog	N-Glycan biosynthesis - Gallus gallus (chicken)	http://rest.kegg.jp/get/gga00510/image
424484	ALG14; UDP-N-acetylglucosamine transferase subunit ALG14 homolog	Metabolic pathways - Gallus gallus (chicken)	http://rest.kegg.jp/get/gga01100/image
424485	CNN3; calponin-3	-	-
424486	SLC44A3; choline transporter-like protein 3 isoform X3	-	-
424487	ABCD3; ATP-binding cassette sub-family D member 3	ABC transporters - Gallus gallus (chicken)	http://rest.kegg.jp/get/gga02010/image
424487	ABCD3; ATP-binding cassette sub-family D member 3	Peroxisome - Gallus gallus (chicken)	http://rest.kegg.jp/get/gga04146/image
424488	ARHGAP29; rho GTPase-activating protein 29	-	-
423457	SLC25A47; solute carrier family 25 member 47 isoform X1	-	-
423454	DEGS2; sphingolipid delta(4)-desaturase/C4-monooxygenase DES2 isoform X1	Sphingolipid metabolism - Gallus gallus (chicken)	http://rest.kegg.jp/get/gga00600/image
423454	DEGS2; sphingolipid delta(4)-desaturase/C4-monooxygenase DES2 isoform X1	Metabolic pathways - Gallus gallus (chicken)	http://rest.kegg.jp/get/gga01100/image
423455	YY2; transcriptional repressor protein YY1	-	-
423452	EML1; echinoderm microtubule-associated protein-like 1 isoform X1	-	-
423453	EVL; ena/VASP-like protein	-	-
423450	CYP46A1; cholesterol 24-hydroxylase	Primary bile acid biosynthesis - Gallus gallus (chicken)	http://rest.kegg.jp/get/gga00120/image
423451	PKDCCB; extracellular tyrosine-protein kinase PKDCC	-	-
428485	MC4R; melanocortin receptor 4	Neuroactive ligand-receptor interaction - Gallus gallus (chicken)	http://rest.kegg.jp/get/gga04080/image
428487	CDH9; cadherin-9 isoform X2	-	-
428482	FARS2; phenylalanine--tRNA ligase, mitochondrial	Aminoacyl-tRNA biosynthesis - Gallus gallus (chicken)	http://rest.kegg.jp/get/gga00970/image
424158	UBR3; E3 ubiquitin-protein ligase UBR3 isoform X1	-	-
424152	CYBRD1; cytochrome b reductase 1	-	-
424153	DCAF17; DDB1- and CUL4-associated factor 17 isoform X1	-	-
424150	METAP1D; methionine aminopeptidase 1D, mitochondrial isoform X2	-	-
424151	DYNC1I2; cytoplasmic dynein 1 intermediate chain 2	Phagosome - Gallus gallus (chicken)	http://rest.kegg.jp/get/gga04145/image
424151	DYNC1I2; cytoplasmic dynein 1 intermediate chain 2	Salmonella infection - Gallus gallus (chicken)	http://rest.kegg.jp/get/gga05132/image
424156	GORASP2; Golgi reassembly-stacking protein 2	-	-
424157	MYO3B; myosin-IIIb isoform X1	-	-
424154	METTL8; methyltransferase-like protein 8 isoform X1	-	-
424155	TLK1; serine/threonine-protein kinase tousled-like 1 isoform X2	-	-
