geneID	Description	Pathway	Pathway_map
4328859	phosphoenolpyruvate carboxylase 1	Carbon fixation in photosynthetic organisms - Oryza sativa japonica (Japanese rice) (RefSeq)	http://rest.kegg.jp/get/osa00710/image
4328859	phosphoenolpyruvate carboxylase 1	Metabolic pathways - Oryza sativa japonica (Japanese rice) (RefSeq)	http://rest.kegg.jp/get/osa01100/image
4328859	phosphoenolpyruvate carboxylase 1	Carbon metabolism - Oryza sativa japonica (Japanese rice) (RefSeq)	http://rest.kegg.jp/get/osa01200/image
4328858	polyadenylate-binding protein-interacting protein 9	-	-
4345438	phosphoglucan phosphatase LSF1, chloroplastic	-	-
4345439	2-methylene-furan-3-one reductase	-	-
4345434	uncharacterized protein LOC4345434	-	-
4345435	thioredoxin-like protein CITRX, chloroplastic	-	-
4345436	golgin subfamily B member 1 isoform X1	-	-
4345437	probable phospholipid-transporting ATPase 8	-	-
4345430	RNA exonuclease 4	-	-
4345431	uncharacterized protein LOC4345431	-	-
4345432	wall-associated receptor kinase 5	-	-
4329102	reticulon-like protein B17 isoform X1	-	-
4329101	probable aminotransferase TAT2	Ubiquinone and other terpenoid-quinone biosynthesis - Oryza sativa japonica (Japanese rice) (RefSeq)	http://rest.kegg.jp/get/osa00130/image
4329101	probable aminotransferase TAT2	Cysteine and methionine metabolism - Oryza sativa japonica (Japanese rice) (RefSeq)	http://rest.kegg.jp/get/osa00270/image
4329101	probable aminotransferase TAT2	Tyrosine metabolism - Oryza sativa japonica (Japanese rice) (RefSeq)	http://rest.kegg.jp/get/osa00350/image
4329101	probable aminotransferase TAT2	Phenylalanine metabolism - Oryza sativa japonica (Japanese rice) (RefSeq)	http://rest.kegg.jp/get/osa00360/image
4329101	probable aminotransferase TAT2	Phenylalanine, tyrosine and tryptophan biosynthesis - Oryza sativa japonica (Japanese rice) (RefSeq)	http://rest.kegg.jp/get/osa00400/image
4329101	probable aminotransferase TAT2	Isoquinoline alkaloid biosynthesis - Oryza sativa japonica (Japanese rice) (RefSeq)	http://rest.kegg.jp/get/osa00950/image
4329101	probable aminotransferase TAT2	Tropane, piperidine and pyridine alkaloid biosynthesis - Oryza sativa japonica (Japanese rice) (RefSeq)	http://rest.kegg.jp/get/osa00960/image
4329101	probable aminotransferase TAT2	Metabolic pathways - Oryza sativa japonica (Japanese rice) (RefSeq)	http://rest.kegg.jp/get/osa01100/image
4329101	probable aminotransferase TAT2	Biosynthesis of secondary metabolites - Oryza sativa japonica (Japanese rice) (RefSeq)	http://rest.kegg.jp/get/osa01110/image
