geneID	Description	Pathway	Pathway_map
103647196	DNA-directed RNA polymerase II subunit RPB2	Metabolic pathways - Zea mays (maize)	http://rest.kegg.jp/get/zma01100/image
103647196	DNA-directed RNA polymerase II subunit RPB2	RNA polymerase - Zea mays (maize)	http://rest.kegg.jp/get/zma03020/image
109944413	pentatricopeptide repeat-containing protein At2g32630	-	-
109944574	uncharacterized LOC109944574	-	-
109944412	glutathione S-transferase T3-like	-	-
103636013	LOW QUALITY PROTEIN: pentatricopeptide repeat-containing protein At5g27460	-	-
103650854	uncharacterized protein LOC103650854	-	-
103653477	transcription factor JUNGBRUNNEN 1	-	-
103636017	uncharacterized membrane protein C776.05	-	-
103636016	carbamoyl-phosphate synthase large chain, chloroplastic	Pyrimidine metabolism - Zea mays (maize)	http://rest.kegg.jp/get/zma00240/image
103636016	carbamoyl-phosphate synthase large chain, chloroplastic	Alanine, aspartate and glutamate metabolism - Zea mays (maize)	http://rest.kegg.jp/get/zma00250/image
103636016	carbamoyl-phosphate synthase large chain, chloroplastic	Metabolic pathways - Zea mays (maize)	http://rest.kegg.jp/get/zma01100/image
103636015	transcription factor bHLH87	-	-
103636014	pre-mRNA-processing factor 17	Spliceosome - Zea mays (maize)	http://rest.kegg.jp/get/zma03040/image
103636018	myosin-17 isoform X1	-	-
103653478	chorismate mutase 2	Phenylalanine, tyrosine and tryptophan biosynthesis - Zea mays (maize)	http://rest.kegg.jp/get/zma00400/image
103653478	chorismate mutase 2	Metabolic pathways - Zea mays (maize)	http://rest.kegg.jp/get/zma01100/image
103653478	chorismate mutase 2	Biosynthesis of secondary metabolites - Zea mays (maize)	http://rest.kegg.jp/get/zma01110/image
103653478	chorismate mutase 2	Biosynthesis of amino acids - Zea mays (maize)	http://rest.kegg.jp/get/zma01230/image
103653479	CBL-interacting protein kinase 6	-	-
103645846	uncharacterized protein LOC103645846	-	-
103645845	UDP-glycosyltransferase 89B1-like	-	-
103645842	small RNA degrading nuclease 1	Ribosome biogenesis in eukaryotes - Zea mays (maize)	http://rest.kegg.jp/get/zma03008/image
103645843	uncharacterized LOC103645843	-	-
103645840	D-3-phosphoglycerate dehydrogenase 3, chloroplastic	Glycine, serine and threonine metabolism - Zea mays (maize)	http://rest.kegg.jp/get/zma00260/image
103645840	D-3-phosphoglycerate dehydrogenase 3, chloroplastic	Metabolic pathways - Zea mays (maize)	http://rest.kegg.jp/get/zma01100/image
103645840	D-3-phosphoglycerate dehydrogenase 3, chloroplastic	Carbon metabolism - Zea mays (maize)	http://rest.kegg.jp/get/zma01200/image
103645840	D-3-phosphoglycerate dehydrogenase 3, chloroplastic	Biosynthesis of amino acids - Zea mays (maize)	http://rest.kegg.jp/get/zma01230/image
103645841	probable isoaspartyl peptidase/L-asparaginase 2	-	-
109939568	uncharacterized LOC109939568	-	-
103653163	uncharacterized LOC103653163, transcript variant X1	-	-
103642333	RING-H2 finger protein ATL67	-	-
103650852	leucine-rich repeat receptor protein kinase MSP1	-	-
103654668	uncharacterized protein LOC103654668	-	-
103626967	BAG family molecular chaperone regulator 6 isoform X1	-	-
100278009	uncharacterized protein LOC100278009	-	-
100278008	uncharacterized protein LOC100278008	-	-
109939598	uncharacterized LOC109939598	-	-
109939599	uncharacterized LOC109939599, transcript variant X1	-	-
103626426	type 2 DNA topoisomerase 6 subunit B-like	-	-
100284187	gpm428a; uncharacterized protein LOC100284187	Oxidative phosphorylation - Zea mays (maize)	http://rest.kegg.jp/get/zma00190/image
103654126	uncharacterized protein LOC103654126	-	-
100284185	pco071747a; uncharacterized protein LOC100284185	-	-
100284184	cl54662_1(668); uncharacterized protein LOC100284184	-	-
100284183	indole-3-acetate beta-glucosyltransferase	-	-
100284182	pco068393; uncharacterized protein LOC100284182	Ribosome - Zea mays (maize)	http://rest.kegg.jp/get/zma03010/image
100284181	csu1007(eif4F); uncharacterized protein LOC100284181	RNA transport - Zea mays (maize)	http://rest.kegg.jp/get/zma03013/image
100284180	40S ribosomal protein S24	Ribosome - Zea mays (maize)	http://rest.kegg.jp/get/zma03010/image
103637768	uncharacterized protein LOC103637768	-	-
103637769	putative proline-rich receptor-like protein kinase PERK6	-	-
103654662	polyadenylate-binding protein-interacting protein 4 isoform X2	-	-
100284189	GATA17; GATA zinc finger family protein	-	-
100284188	pco064559a; uncharacterized protein LOC100284188	-	-
100278001	IDP183; uncharacterized protein LOC100278001	-	-
109943512	uncharacterized LOC109943512	-	-
100278000	CASP-like protein 5C1	-	-
107403165	pseudogene	-	-
