geneID	Description	Pathway	Pathway_map
100838663	60S ribosome subunit biogenesis protein NIP7 homolog	-	-
100838662	uncharacterized protein LOC100838662	-	-
100838661	uncharacterized protein LOC100838661	-	-
100838660	UPF0496 protein 3 isoform X1	-	-
100830410	uncharacterized protein LOC100830410	-	-
100830411	expansin-A11 isoform X2	-	-
100830412	protein NRT1/ PTR FAMILY 1.2	-	-
100830414	DExH-box ATP-dependent RNA helicase DExH3	RNA degradation - Brachypodium distachyon	http://rest.kegg.jp/get/bdi03018/image
100830415	exocyst complex component SEC15B	-	-
100830416	protein CHUP1, chloroplastic	-	-
100838668	transmembrane 9 superfamily member 9	-	-
100836719	nucleobase-ascorbate transporter LPE1	-	-
100836718	uncharacterized protein LOC100836718	-	-
100836715	endoglucanase 13	Starch and sucrose metabolism - Brachypodium distachyon	http://rest.kegg.jp/get/bdi00500/image
100836715	endoglucanase 13	Metabolic pathways - Brachypodium distachyon	http://rest.kegg.jp/get/bdi01100/image
100836714	RNA polymerase I termination factor	-	-
100836717	protein DETOXIFICATION 16	-	-
100836716	amino acid permease 1	-	-
100836710	ubiquitin-activating enzyme E1 2	Ubiquitin mediated proteolysis - Brachypodium distachyon	http://rest.kegg.jp/get/bdi04120/image
100836713	uncharacterized protein LOC100836713	-	-
100836712	uncharacterized protein LOC100836712 isoform X1	-	-
100835169	uncharacterized protein LOC100835169 isoform X2	-	-
100835168	laccase-23	-	-
100835163	cycloartenol synthase-like	Steroid biosynthesis - Brachypodium distachyon	http://rest.kegg.jp/get/bdi00100/image
100835163	cycloartenol synthase-like	Metabolic pathways - Brachypodium distachyon	http://rest.kegg.jp/get/bdi01100/image
100835163	cycloartenol synthase-like	Biosynthesis of secondary metabolites - Brachypodium distachyon	http://rest.kegg.jp/get/bdi01110/image
100835162	protein LIFEGUARD 2	-	-
100835161	UDP-glucosyltransferase UGT13248	-	-
100835160	uncharacterized protein LOC100835160 isoform X5	-	-
100835167	uncharacterized protein LOC100835167	-	-
100835166	serine carboxypeptidase-like 51	-	-
100835165	uncharacterized protein ycf45	-	-
100836540	LEAF RUST 10 DISEASE-RESISTANCE LOCUS RECEPTOR-LIKE PROTEIN KINASE-like 2.1 isoform X1	-	-
100823482	subtilisin-like protease SBT1.2	-	-
100823481	serine/threonine-protein kinase tricorner	-	-
100834414	uncharacterized protein LOC100834414	-	-
100844009	uncharacterized protein LOC100844009	-	-
100834416	AT-hook motif nuclear-localized protein 26	-	-
100834417	non-lysosomal glucosylceramidase	Other glycan degradation - Brachypodium distachyon	http://rest.kegg.jp/get/bdi00511/image
100834417	non-lysosomal glucosylceramidase	Sphingolipid metabolism - Brachypodium distachyon	http://rest.kegg.jp/get/bdi00600/image
100834417	non-lysosomal glucosylceramidase	Metabolic pathways - Brachypodium distachyon	http://rest.kegg.jp/get/bdi01100/image
100834410	non-specific lipid-transfer protein-like 1	-	-
100834411	uncharacterized LOC100834411, transcript variant X3	-	-
100834413	kinesin-like protein KIN-5C	-	-
100844000	uncharacterized LOC100844000, transcript variant X3	-	-
100844001	acyl transferase 15	-	-
100834418	uncharacterized protein LOC100834418	-	-
100844005	glutamate--glyoxylate aminotransferase 2 isoform X1	Arginine biosynthesis - Brachypodium distachyon	http://rest.kegg.jp/get/bdi00220/image
100844005	glutamate--glyoxylate aminotransferase 2 isoform X1	Alanine, aspartate and glutamate metabolism - Brachypodium distachyon	http://rest.kegg.jp/get/bdi00250/image
100844005	glutamate--glyoxylate aminotransferase 2 isoform X1	Glycine, serine and threonine metabolism - Brachypodium distachyon	http://rest.kegg.jp/get/bdi00260/image
100844005	glutamate--glyoxylate aminotransferase 2 isoform X1	Glyoxylate and dicarboxylate metabolism - Brachypodium distachyon	http://rest.kegg.jp/get/bdi00630/image
100844005	glutamate--glyoxylate aminotransferase 2 isoform X1	Carbon fixation in photosynthetic organisms - Brachypodium distachyon	http://rest.kegg.jp/get/bdi00710/image
100844005	glutamate--glyoxylate aminotransferase 2 isoform X1	Metabolic pathways - Brachypodium distachyon	http://rest.kegg.jp/get/bdi01100/image
100844005	glutamate--glyoxylate aminotransferase 2 isoform X1	Biosynthesis of secondary metabolites - Brachypodium distachyon	http://rest.kegg.jp/get/bdi01110/image
100844005	glutamate--glyoxylate aminotransferase 2 isoform X1	Carbon metabolism - Brachypodium distachyon	http://rest.kegg.jp/get/bdi01200/image
100844005	glutamate--glyoxylate aminotransferase 2 isoform X1	2-Oxocarboxylic acid metabolism - Brachypodium distachyon	http://rest.kegg.jp/get/bdi01210/image
100844005	glutamate--glyoxylate aminotransferase 2 isoform X1	Biosynthesis of amino acids - Brachypodium distachyon	http://rest.kegg.jp/get/bdi01230/image
100844006	nitrate regulatory gene2 protein	-	-
100844007	cytosolic enolase 3 isoform X1	Glycolysis / Gluconeogenesis - Brachypodium distachyon	http://rest.kegg.jp/get/bdi00010/image
100844007	cytosolic enolase 3 isoform X1	Metabolic pathways - Brachypodium distachyon	http://rest.kegg.jp/get/bdi01100/image
100844007	cytosolic enolase 3 isoform X1	Biosynthesis of secondary metabolites - Brachypodium distachyon	http://rest.kegg.jp/get/bdi01110/image
100844007	cytosolic enolase 3 isoform X1	Carbon metabolism - Brachypodium distachyon	http://rest.kegg.jp/get/bdi01200/image
100844007	cytosolic enolase 3 isoform X1	Biosynthesis of amino acids - Brachypodium distachyon	http://rest.kegg.jp/get/bdi01230/image
100844007	cytosolic enolase 3 isoform X1	RNA degradation - Brachypodium distachyon	http://rest.kegg.jp/get/bdi03018/image
100823484	protein CHAPERONE-LIKE PROTEIN OF POR1, chloroplastic	-	-
100827159	sphingosine-1-phosphate lyase	Sphingolipid metabolism - Brachypodium distachyon	http://rest.kegg.jp/get/bdi00600/image
