geneID	Description	Pathway	Pathway_map
Dmel_CG14257	CG14257; uncharacterized protein, isoform C	-	-
Dmel_CG11601	CG11601; uncharacterized protein, isoform B	-	-
Dmel_CG17523	GstE2; glutathione S transferase E2	Glutathione metabolism - Drosophila melanogaster (fruit fly)	http://rest.kegg.jp/get/dme00480/image
Dmel_CG17523	GstE2; glutathione S transferase E2	Metabolism of xenobiotics by cytochrome P450 - Drosophila melanogaster (fruit fly)	http://rest.kegg.jp/get/dme00980/image
Dmel_CG17523	GstE2; glutathione S transferase E2	Drug metabolism - cytochrome P450 - Drosophila melanogaster (fruit fly)	http://rest.kegg.jp/get/dme00982/image
Dmel_CG17523	GstE2; glutathione S transferase E2	Drug metabolism - other enzymes - Drosophila melanogaster (fruit fly)	http://rest.kegg.jp/get/dme00983/image
Dmel_CG7365	CG7365; uncharacterized protein, isoform B	-	-
Dmel_CR45927	CR45927	-	-
Dmel_CG12169	Ppm1; Ppm1	-	-
Dmel_CR45924	CR45924	-	-
Dmel_CG6172	vnd; ventral nervous system defective, isoform A	-	-
Dmel_CG6173	Kal1; kallmann syndrome 1	-	-
Dmel_CG6170	HDAC6; histone deacetylase 6, isoform D	-	-
Dmel_CG6171	CG6171; uncharacterized protein, isoform B	-	-
Dmel_CG6176	Grip75; Grip75	-	-
Dmel_CG6177	ldlCp; ldlCp-related protein	-	-
Dmel_CG6174	Arp1; Actin-related protein 1	-	-
Dmel_CG3671	Mvl; malvolio, isoform D	Lysosome - Drosophila melanogaster (fruit fly)	http://rest.kegg.jp/get/dme04142/image
Dmel_CR45294	CR45294	-	-
Dmel_CG6178	CG6178; uncharacterized protein	-	-
Dmel_CG6179	CG6179; uncharacterized protein	-	-
Dmel_CG41242	CG41242; uncharacterized protein	-	-
Dmel_CG3678	CG3678; uncharacterized protein, isoform B	-	-
Dmel_CG3679	CG3679; uncharacterized protein, isoform B	-	-
Dmel_CG43365	BtbVII; BTB-protein-VII, isoform G	-	-
Dmel_CG7587	CG7587; uncharacterized protein	-	-
Dmel_CG11607	H2.0; homeodomain protein 2.0	-	-
Dmel_CG12164	CG12164; uncharacterized protein, isoform B	-	-
Dmel_CG31937	CG31937; uncharacterized protein	-	-
Dmel_CG6059	CG6059; uncharacterized protein	-	-
Dmel_CG44154	koi; klaroid, isoform A	-	-
Dmel_CG6506	Spt7; Spt7	-	-
Dmel_CR43157	CR43157	-	-
Dmel_CR43151	CR43151	-	-
Dmel_CG16790	CG16790; uncharacterized protein, isoform A	-	-
Dmel_CR43152	CR43152	-	-
Dmel_CG16791	CG16791; uncharacterized protein, isoform B	-	-
Dmel_CR43159	CR43159	-	-
Dmel_CG17521	RpL10; ribosomal protein L10, isoform E	Ribosome - Drosophila melanogaster (fruit fly)	http://rest.kegg.jp/get/dme03010/image
Dmel_CG33649	GatC; Glutamyl-tRNA amidotransferase, subunit C	Aminoacyl-tRNA biosynthesis - Drosophila melanogaster (fruit fly)	http://rest.kegg.jp/get/dme00970/image
Dmel_CG33649	GatC; Glutamyl-tRNA amidotransferase, subunit C	Metabolic pathways - Drosophila melanogaster (fruit fly)	http://rest.kegg.jp/get/dme01100/image
Dmel_CG3759	Mco1; multicopper oxidase-1, isoform B	-	-
Dmel_CG33139	Impbeta11; importin beta11	-	-
Dmel_CG33138	AGBE; 1,4-Alpha-Glucan branching enzyme	Starch and sucrose metabolism - Drosophila melanogaster (fruit fly)	http://rest.kegg.jp/get/dme00500/image
Dmel_CG33138	AGBE; 1,4-Alpha-Glucan branching enzyme	Metabolic pathways - Drosophila melanogaster (fruit fly)	http://rest.kegg.jp/get/dme01100/image
Dmel_CG33137	CG33137; uncharacterized protein	-	-
Dmel_CG33136	CG33136; uncharacterized protein, isoform B	-	-
Dmel_CG33135	KCNQ; KCNQ potassium channel, isoform C	-	-
Dmel_CG33134	Debcl; death executioner Bcl-2	Apoptosis - fly - Drosophila melanogaster (fruit fly)	http://rest.kegg.jp/get/dme04214/image
Dmel_CG33134	Debcl; death executioner Bcl-2	Apoptosis - multiple species - Drosophila melanogaster (fruit fly)	http://rest.kegg.jp/get/dme04215/image
Dmel_CG33133	grau; grauzone	-	-
Dmel_CG3029	or; orange	Lysosome - Drosophila melanogaster (fruit fly)	http://rest.kegg.jp/get/dme04142/image
Dmel_CG33131	SCAP; SREBP cleavage activating protein	-	-
Dmel_CG33130	Patronin; patronin, isoform C	-	-
Dmel_CR43582	snoRNA:nop5-x16-a	-	-
Dmel_CG6056	AP-2sigma; adaptor protein complex 2, sigma subunit	Endocytosis - Drosophila melanogaster (fruit fly)	http://rest.kegg.jp/get/dme04144/image
Dmel_CG32512	CG32512; uncharacterized protein, isoform B	-	-
Dmel_CG32513	bves; bves, isoform C	-	-
Dmel_CG42764	CG42764; uncharacterized protein, isoform A	-	-
Dmel_CG43758	sli; slit, isoform E	-	-
Dmel_CG9826	CG9826; uncharacterized protein, isoform A	-	-
Dmel_CG6053	Dnai2; dynein, axonemal, intermediate chain 2, isoform C	-	-
Dmel_CG12559	rl; rolled, isoform C	MAPK signaling pathway - fly - Drosophila melanogaster (fruit fly)	http://rest.kegg.jp/get/dme04013/image
Dmel_CG12559	rl; rolled, isoform C	FoxO signaling pathway - Drosophila melanogaster (fruit fly)	http://rest.kegg.jp/get/dme04068/image
