geneID	Description	Pathway	Pathway_map
PHAVU_006G150100g	hypothetical protein	-	-
PHAVU_003G114000g	hypothetical protein	-	-
PHAVU_002G057600g	hypothetical protein	-	-
PHAVU_010G002700g	hypothetical protein	-	-
PHAVU_003G196600g	hypothetical protein	-	-
PHAVU_008G044200g	hypothetical protein	-	-
PHAVU_005G151900g	hypothetical protein	-	-
PHAVU_002G235200g	hypothetical protein	-	-
PHAVU_004G0484001	hypothetical protein	Ubiquitin mediated proteolysis - Phaseolus vulgaris (common bean)	http://rest.kegg.jp/get/pvu04120/image
PHAVU_004G0484000	hypothetical protein	Ubiquitin mediated proteolysis - Phaseolus vulgaris (common bean)	http://rest.kegg.jp/get/pvu04120/image
PHAVU_011G0114001	hypothetical protein	-	-
PHAVU_009G112300g	hypothetical protein	mRNA surveillance pathway - Phaseolus vulgaris (common bean)	http://rest.kegg.jp/get/pvu03015/image
PHAVU_011G096100g	hypothetical protein	-	-
PHAVU_008G005900g	hypothetical protein	-	-
PHAVU_006G066700g	hypothetical protein	-	-
PHAVU_005G111400g	hypothetical protein	-	-
PHAVU_010G156600g	hypothetical protein	-	-
PHAVU_007G019800g	hypothetical protein	Oxidative phosphorylation - Phaseolus vulgaris (common bean)	http://rest.kegg.jp/get/pvu00190/image
PHAVU_007G019800g	hypothetical protein	Metabolic pathways - Phaseolus vulgaris (common bean)	http://rest.kegg.jp/get/pvu01100/image
PHAVU_001G247500g	hypothetical protein	-	-
PHAVU_009G053700g	hypothetical protein	Spliceosome - Phaseolus vulgaris (common bean)	http://rest.kegg.jp/get/pvu03040/image
PHAVU_010G152500g	hypothetical protein	-	-
PHAVU_001G006600g	hypothetical protein	-	-
PHAVU_002G141400g	hypothetical protein	Endocytosis - Phaseolus vulgaris (common bean)	http://rest.kegg.jp/get/pvu04144/image
PHAVU_007G2531001	hypothetical protein	Pentose and glucuronate interconversions - Phaseolus vulgaris (common bean)	http://rest.kegg.jp/get/pvu00040/image
PHAVU_007G2531001	hypothetical protein	Metabolic pathways - Phaseolus vulgaris (common bean)	http://rest.kegg.jp/get/pvu01100/image
PHAVU_003G073900g	hypothetical protein	-	-
PHAVU_001G188300g	hypothetical protein	-	-
PHAVU_005G130500g	hypothetical protein	-	-
PHAVU_001G017500g	hypothetical protein	Ribosome - Phaseolus vulgaris (common bean)	http://rest.kegg.jp/get/pvu03010/image
PHAVU_005G019200g	hypothetical protein	-	-
PHAVU_005G162500g	hypothetical protein	-	-
PHAVU_003G276700g	hypothetical protein	-	-
PHAVU_007G100800g	hypothetical protein	-	-
